lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
BSD City,Tangerang,1290000000,2.0,2.0,105,70,no,no,yes,no,no
Gading Serpong,Tangerang,750000000,2.0,1.0,78,50,no,no,no,no,no
Gading Serpong,Tangerang,1450000000,5.0,2.0,140,200,no,no,no,no,no
BSD The Icon,Tangerang,1950000000,3.0,3.0,112,100,yes,no,no,no,no
BSD City,Tangerang,720000000,2.0,1.0,50,32,yes,no,no,no,no
BSD City,Tangerang,910000000,3.0,2.0,120,90,yes,no,no,no,no
BSD,Tangerang,920000000,2.0,2.0,84,58,yes,no,no,no,no
BSD,Tangerang,900000000,2.0,1.0,75,65,yes,no,no,no,no
BSD,Tangerang,162000000,2.0,1.0,60,30,no,no,yes,no,no
BSD,Tangerang,970000000,3.0,2.0,60,54,yes,no,no,no,no
Gading Serpong Samara Village,Tangerang,1450000000,2.0,2.0,63,79,no,no,no,yes,no
Graha Raya,Tangerang,1180000000,3.0,2.0,72,73,no,no,no,no,no
Gading Serpong,Tangerang,4950000000,4.0,3.0,180,178,yes,no,no,no,no
Legok,Tangerang,1750000000,3.0,3.0,189,100,no,no,yes,no,no
Gading Serpong,Tangerang,2650000000,3.0,3.0,135,135,yes,no,no,no,no
Legok,Tangerang,700000000,2.0,1.0,82,50,yes,no,no,no,no
Cisauk,Tangerang,1140000000,2.0,1.0,72,46,yes,no,no,no,no
Cikupa,Tangerang,1020000000,3.0,2.0,128,110,yes,no,no,no,no
Cikokol,Tangerang,1820000000,4.0,3.0,82,85,yes,no,no,no,no
Gading Serpong,Tangerang,1100000000,2.0,1.0,96,96,no,no,yes,no,no
Gading Serpong,Tangerang,1020000000,2.0,1.0,120,80,yes,no,no,no,no
Gading Serpong,Tangerang,4200000000,4.0,3.0,144,174,no,no,no,no,no
Tangerang,Tangerang,2600000000,3.0,3.0,168,200,no,no,no,no,no
Gading Serpong,Tangerang,2030000000,3.0,2.0,77,70,no,no,no,no,no
Gading Serpong Pondok Hijau Golf,Tangerang,2250000000,3.0,3.0,126,140,no,no,yes,no,no
Lippo Karawaci,Tangerang,800000000,2.0,1.0,72,36,no,no,yes,no,no
Karawaci,Tangerang,1500000000,2.0,2.0,120,80,yes,no,no,no,no
BSD,Tangerang,2010000000,2.0,2.0,112,66,yes,no,no,no,no
BSD City,Tangerang,1220000000,2.0,3.0,72,70,no,no,yes,no,no
BSD City,Tangerang,1220000000,2.0,3.0,72,70,no,no,yes,no,no
Pinang,Tangerang,1600000000,3.0,2.0,144,180,yes,no,no,no,no
BSD City,Tangerang,1120000000,2.0,2.0,85,45,no,no,no,no,no
BSD City,Tangerang,1140000000,2.0,1.0,84,60,no,no,no,no,no
BSD City,Tangerang,920000000,2.0,2.0,84,58,no,no,no,no,no
BSD City,Tangerang,1030000000,2.0,2.0,75,99,no,no,no,no,no
BSD,Tangerang,1030000000,2.0,2.0,75,99,no,no,no,no,no
BSD Nusaloka,Tangerang,1750000000,2.0,1.0,105,76,yes,yes,no,no,no
Pagedangan,Tangerang,2030000000,3.0,2.0,77,70,no,no,no,no,no
BSD,Tangerang,710000000,2.0,1.0,72,36,no,no,yes,no,no
BSD,Tangerang,650000000,2.0,2.0,60,73,no,no,no,no,no
Karawaci,Tangerang,700000000,2.0,1.0,82,50,no,no,yes,no,no
Cisauk,Tangerang,960000000,2.0,2.0,72,41,yes,no,yes,no,no
Gading Serpong,Tangerang,1470000000,2.0,2.0,90,54,no,no,no,no,no
BSD,Tangerang,2540000000,3.0,3.0,135,90,no,no,no,no,no
Gading Serpong,Tangerang,2150000000,3.0,4.0,80,130,yes,no,no,no,no
Gading Serpong,Tangerang,2150000000,3.0,4.0,80,130,yes,no,no,no,no
Alam Sutera,Tangerang,3000000000,3.0,2.0,170,120,yes,no,yes,no,no
BSD,Tangerang,2800000000,4.0,3.0,120,160,no,no,yes,no,no
BSD Vanya Park,Tangerang,1890000000,3.0,2.0,116,70,no,no,no,no,no
Cireundeu,Tangerang,2100000000,4.0,3.0,104,134,yes,no,yes,no,no
Sindang Jaya,Tangerang,1250000000,5.0,4.0,108,84,yes,no,yes,no,no
Larangan,Tangerang,900000000,2.0,2.0,54,68,yes,no,yes,no,no
Curug,Tangerang,595000000,3.0,2.0,66,50,no,no,no,no,no
Sindang Jaya,Tangerang,1250000000,5.0,4.0,108,84,yes,no,yes,no,no
Gading Serpong,Tangerang,1650000000,4.0,3.0,63,121,yes,no,no,no,no
BSD The Green,Tangerang,3250000000,3.0,2.0,180,180,no,no,no,no,no
BSD City,Tangerang,1120000000,2.0,2.0,85,45,no,no,yes,no,no
Cisauk,Tangerang,960000000,2.0,1.0,72,54,no,no,yes,no,no
BSD Eminent,Tangerang,6000000000,4.0,5.0,120,195,no,no,no,no,no
Sindang Jaya,Tangerang,1200000000,3.0,2.0,119,120,no,no,yes,no,no
BSD Griya Loka,Tangerang,1980000000,4.0,3.0,90,130,yes,no,yes,no,no
Alam Sutera,Tangerang,2800000000,3.0,3.0,112,170,no,no,yes,no,no
Gading Serpong,Tangerang,3100000000,3.0,3.0,96,161,no,no,yes,no,no
Gading Serpong,Tangerang,3500000000,4.0,3.0,144,155,no,no,yes,no,no
BSD City,Tangerang,1290000000,2.0,1.0,72,50,yes,no,no,no,no
BSD City,Tangerang,1440000000,3.0,2.0,100,70,yes,no,no,no,no
BSD,Tangerang,1790000000,3.0,2.0,117,78,yes,no,no,no,no
BSD,Tangerang,1420000000,2.0,1.0,84,50,yes,no,no,no,no
BSD,Tangerang,1750000000,3.0,2.0,112,72,yes,no,no,no,no
Gading Serpong,Tangerang,2350000000,3.0,2.0,72,100,yes,no,no,no,no
BSD De Park,Tangerang,4150000000,3.0,3.0,180,200,no,no,no,no,no
Gading Serpong,Tangerang,1870000000,4.0,2.0,90,120,no,no,no,yes,no
BSD City,Tangerang,2550000000,3.0,2.0,160,92,no,no,yes,no,no
BSD,Tangerang,1450000000,3.0,3.0,70,94,no,no,yes,no,no
BSD,Tangerang,1870000000,1.0,3.0,105,70,no,no,no,no,no
BSD Vanya Park,Tangerang,1750000000,2.0,2.0,60,53,no,no,yes,no,no
Gading Serpong,Tangerang,1500000000,2.0,2.0,66,62,no,no,no,no,no
Cisauk,Tangerang,1120000000,2.0,2.0,85,45,no,no,yes,no,no
BSD,Tangerang,3050000000,4.0,3.0,162,175,yes,no,no,no,no
BSD City,Tangerang,2250000000,3.0,2.0,126,115,yes,no,no,no,no
BSD,Tangerang,670000000,2.0,1.0,60,33,yes,no,no,no,no
Graha Raya,Tangerang,995000000,3.0,2.0,90,70,no,no,no,no,no
BSD Green Wich,Tangerang,3950000000,3.0,3.0,160,130,no,no,no,yes,yes
Poris,Tangerang,1350000000,3.0,3.0,60,130,no,no,no,no,no
Daan Mogot,Tangerang,950000000,3.0,2.0,57,114,no,no,no,no,no
Gading Serpong,Tangerang,4200000000,3.0,2.0,153,163,yes,no,no,no,no
Alam Sutera,Tangerang,3800000000,4.0,4.0,102,120,no,no,yes,yes,no
BSD The Green,Tangerang,2250000000,2.0,2.0,105,69,yes,no,no,no,no
BSD City,Tangerang,1550000000,3.0,2.0,84,91,yes,no,no,no,no
Alam Sutera,Tangerang,2640000000,3.0,3.0,102,150,no,no,no,no,no
Cikupa,Tangerang,650000000,2.0,1.0,102,46,no,no,yes,no,no
Cikupa Citra Raya,Tangerang,1040000000,3.0,3.0,120,120,no,yes,no,no,no
BSD,Tangerang,4500000000,4.0,4.0,200,180,no,no,no,no,no
Legok,Tangerang,445000000,3.0,2.0,90,65,yes,no,no,no,no
Tangerang Kota,Tangerang,375000000,2.0,1.0,123,36,no,no,yes,no,no
Gading Serpong,Tangerang,3500000000,4.0,3.0,144,155,no,no,yes,no,no
Gading Serpong,Tangerang,3500000000,4.0,3.0,144,155,no,no,yes,no,no
BSD,Tangerang,3500000000,3.0,3.0,170,120,no,no,no,no,no
Karawaci,Tangerang,1020000000,3.0,2.0,128,110,no,no,yes,no,no
Gading Serpong,Tangerang,1180000000,3.0,1.0,96,56,no,no,yes,no,no
Karawaci,Tangerang,910000000,3.0,1.0,150,70,no,no,no,no,no
Alam Sutera,Tangerang,5120000000,4.0,4.0,140,176,no,no,no,no,no
Alam Sutera,Tangerang,4000000000,5.0,4.0,130,127,no,no,no,yes,no
Gading Serpong,Tangerang,2950000000,4.0,4.0,153,163,no,no,no,no,no
BSD City,Tangerang,960000000,2.0,2.0,72,41,no,no,no,no,no
Gading Serpong,Tangerang,2200000000,3.0,2.0,84,144,no,no,yes,no,no
Gading Serpong,Tangerang,3100000000,3.0,3.0,96,161,no,no,yes,no,no
Sangiang Jaya,Tangerang,375000000,1.0,1.0,60,60,no,no,no,no,no
Gading Serpong,Tangerang,3500000000,4.0,3.0,144,155,no,no,yes,no,no
Gading Serpong,Tangerang,3500000000,4.0,3.0,144,155,no,no,yes,no,no
BSD,Tangerang,3310000000,3.0,3.0,150,200,yes,no,no,no,no
Poris,Tangerang,920000000,3.0,2.0,66,60,no,no,no,no,no
BSD City,Tangerang,600000000,3.0,2.0,63,48,yes,yes,no,no,no
Gading Serpong,Tangerang,4800000000,4.0,3.0,180,175,no,no,no,no,yes
Curug,Tangerang,850000000,3.0,2.0,105,95,no,no,yes,no,no
Gading Serpong,Tangerang,4400000000,3.0,2.0,153,163,no,no,no,no,no
Gading Serpong,Tangerang,2100000000,3.0,2.0,77,73,no,no,yes,no,no
Karawaci,Tangerang,991000000,4.0,2.0,70,77,no,no,no,no,no
Cisauk,Tangerang,898000000,2.0,2.0,60,50,yes,no,yes,no,no
Alam Sutera,Tangerang,3950000000,4.0,4.0,136,150,no,no,no,yes,no
Alam Sutera,Tangerang,2900000000,3.0,2.0,170,120,yes,no,no,no,no
Gading Serpong,Tangerang,850000000,2.0,1.0,72,65,yes,no,yes,no,no
BSD,Tangerang,1270000000,2.0,1.0,56,45,no,no,no,no,no
Cikupa,Tangerang,850000000,2.0,1.0,120,66,no,no,yes,no,no
Cipondoh,Tangerang,1930000000,2.0,2.0,179,90,yes,no,no,no,no
Cipondoh,Tangerang,970000000,2.0,2.0,77,77,yes,no,no,no,no
Gading Serpong,Tangerang,860000000,4.0,2.0,174,165,yes,no,no,no,no
Gading Serpong,Tangerang,2140000000,3.0,3.0,65,77,yes,no,no,no,no
Cipondoh,Tangerang,3500000000,4.0,2.0,84,86,yes,no,yes,no,no
Gading Serpong,Tangerang,1590000000,3.0,2.0,56,83,no,no,yes,no,no
Gading Serpong,Tangerang,1740000000,3.0,3.0,84,105,no,no,yes,no,no
Alam Sutera,Tangerang,3750000000,4.0,3.0,112,126,no,no,yes,no,no
Cisauk,Tangerang,1990000000,3.0,3.0,120,104,no,no,yes,no,no
Modernland,Tangerang,2900000000,3.0,2.0,171,154,no,no,no,no,no
Alam Sutera,Tangerang,1970000000,3.0,2.0,90,120,no,no,yes,no,no
BSD,Tangerang,540000000,2.0,1.0,72,36,no,no,no,no,no
Gading Serpong,Tangerang,2950000000,4.0,4.0,153,163,no,no,yes,no,no
Karawaci,Tangerang,1480000000,2.0,2.0,90,60,no,no,yes,no,no
BSD City,Tangerang,650000000,2.0,1.0,81,42,no,no,yes,no,no
Metro Permata,Tangerang,1420000000,3.0,2.0,116,100,yes,no,no,no,no
Graha Raya,Tangerang,1470000000,2.0,1.0,90,60,yes,yes,no,no,no
Karawaci,Tangerang,720000000,2.0,1.0,72,36,yes,no,no,no,no
Karawaci,Tangerang,800000000,2.0,1.0,72,36,yes,no,no,no,no
Gading Serpong,Tangerang,5500000000,4.0,3.0,180,200,no,no,no,yes,no
Kelapa Dua,Tangerang,860000000,4.0,2.0,174,165,yes,no,no,no,no
Sindang Jaya,Tangerang,3040000000,4.0,3.0,160,110,yes,no,no,no,no
Curug,Tangerang,720000000,2.0,1.0,72,36,yes,no,no,no,no
Gading Serpong,Tangerang,2040000000,3.0,3.0,65,77,no,no,yes,no,no
BSD Eminent,Tangerang,3400000000,3.0,3.0,120,142,no,no,yes,no,no
BSD Nusaloka,Tangerang,1250000000,2.0,1.0,78,60,no,no,yes,no,no
BSD Vanya Park,Tangerang,1550000000,3.0,2.0,77,150,no,no,no,no,no
BSD,Tangerang,1120000000,2.0,2.0,85,45,no,no,no,no,no
Gading Serpong,Tangerang,1700000000,3.0,2.0,77,90,no,no,no,yes,no
Gading Serpong,Tangerang,1800000000,3.0,1.0,120,87,no,no,no,no,no
Gading Serpong,Tangerang,1930000000,2.0,2.0,120,60,no,no,no,no,no
BSD City,Tangerang,970000000,3.0,2.0,60,54,yes,no,no,no,no
BSD City,Tangerang,1140000000,2.0,1.0,72,46,yes,no,no,no,no
Kelapa Dua,Tangerang,2950000000,4.0,4.0,153,163,yes,no,no,no,no
BSD,Tangerang,960000000,2.0,1.0,72,54,yes,no,no,no,no
BSD,Tangerang,1340000000,3.0,2.0,78,88,yes,no,no,no,no
Karang Tengah,Tangerang,1000000000,2.0,1.0,112,80,no,no,no,no,no
Gading Serpong,Tangerang,4200000000,4.0,3.0,144,174,no,no,yes,no,no
Tangerang,Tangerang,1950000000,3.0,3.0,88,50,no,no,yes,no,no
Tangerang,Tangerang,2460000000,3.0,3.0,108,75,no,no,yes,no,no
Tangerang,Tangerang,2780000000,4.0,4.0,105,110,no,no,yes,no,no
Tangerang,Tangerang,1950000000,3.0,3.0,88,50,no,no,yes,no,no
Tangerang,Tangerang,2460000000,3.0,3.0,108,75,no,no,yes,no,no
Tangerang,Tangerang,2780000000,4.0,4.0,105,110,no,no,yes,no,no
Tangerang,Tangerang,1950000000,3.0,3.0,88,55,no,no,yes,no,no
Tangerang,Tangerang,2460000000,3.0,3.0,108,75,no,no,yes,no,no
Tangerang,Tangerang,2780000000,4.0,4.0,105,110,no,no,yes,no,no
Gading Serpong,Tangerang,1450000000,2.0,2.0,66,62,no,no,yes,yes,no
BSD,Tangerang,1170000000,2.0,1.0,122,75,yes,yes,no,no,no
BSD City,Tangerang,1790000000,3.0,2.0,117,78,yes,no,no,no,no
BSD City,Tangerang,1420000000,2.0,1.0,84,50,yes,no,no,no,no
BSD,Tangerang,2140000000,3.0,3.0,105,170,yes,no,no,no,no
BSD,Tangerang,1680000000,2.0,2.0,105,70,yes,no,no,no,no
Gading Serpong,Tangerang,3200000000,4.0,4.0,198,170,no,no,yes,no,no
Curug,Tangerang,2600000000,3.0,3.0,168,200,yes,no,no,no,no
Pakujaya,Tangerang,2520000000,2.0,1.0,195,89,yes,no,no,no,no
Gading Serpong,Tangerang,1720000000,3.0,3.0,84,105,yes,no,no,no,no
Alam Sutera,Tangerang,3750000000,4.0,3.0,112,126,yes,no,yes,no,no
Poris,Tangerang,1030000000,3.0,2.0,90,120,no,no,no,no,no
Pagedangan,Tangerang,2030000000,3.0,2.0,77,70,yes,no,no,no,no
Curug,Tangerang,740000000,2.0,1.0,72,39,yes,no,no,no,no
Suradita,Tangerang,970000000,3.0,2.0,60,54,yes,no,no,no,no
Cisauk,Tangerang,1140000000,2.0,1.0,84,60,yes,no,no,no,no
Tangerang Kota,Tangerang,750000000,2.0,1.0,90,60,no,no,no,no,no
Curug,Tangerang,955000000,1.0,1.0,113,144,no,no,no,no,no
Tangerang Kota,Tangerang,1000000000,2.0,2.0,169,200,no,no,no,no,no
Kunciran,Tangerang,1500000000,6.0,3.0,112,140,yes,no,no,no,no
Pagedangan,Tangerang,1000000000,3.0,1.0,91,80,no,no,no,no,no
Pasar Kemis,Tangerang,300000000,2.0,2.0,66,80,no,no,no,no,no
Curug,Tangerang,1000000000,2.0,2.0,90,139,no,no,no,no,no
Ciledug,Tangerang,2520000000,2.0,1.0,165,150,no,no,no,no,no
Batu Ceper,Tangerang,1670000000,3.0,2.0,169,150,no,no,no,no,no
Kelapa Dua,Tangerang,468000000,2.0,1.0,60,45,yes,no,yes,no,no
Karang Tengah,Tangerang,1450000000,4.0,2.0,150,135,yes,no,no,no,no
Cisauk,Tangerang,410000000,2.0,1.0,60,60,no,no,yes,no,no
Gading Serpong,Tangerang,3650000000,4.0,4.0,136,147,no,yes,no,yes,no
Pasar Kemis,Tangerang,1240000000,1.0,1.0,120,150,no,no,no,no,no
Gading Serpong,Tangerang,3750000000,3.0,3.0,187,158,no,no,yes,no,no
BSD City,Tangerang,1300000000,2.0,2.0,48,63,no,no,yes,no,no
BSD Foresta,Tangerang,2500000000,4.0,3.0,144,120,no,no,no,no,no
BSD City,Tangerang,3640000000,3.0,3.0,128,102,yes,no,no,no,no
Gading Serpong,Tangerang,2090000000,4.0,2.0,128,120,no,no,no,no,no
Gading Serpong,Tangerang,1020000000,2.0,1.0,120,80,yes,no,no,no,no
Gading Serpong,Tangerang,2030000000,3.0,2.0,77,70,no,no,no,no,no
Poris,Tangerang,1050000000,3.0,3.0,47,75,no,no,no,no,no
Cikupa,Tangerang,488000000,3.0,2.0,84,82,no,yes,yes,no,no
Lippo Karawaci,Tangerang,2950000000,4.0,4.0,153,163,yes,no,no,no,no
Lippo Karawaci,Tangerang,740000000,2.0,1.0,72,39,yes,no,no,no,no
Karawaci,Tangerang,990000000,2.0,2.0,108,90,yes,no,yes,no,no
BSD City,Tangerang,2140000000,3.0,3.0,105,170,yes,no,no,no,no
BSD,Tangerang,2470000000,3.0,2.0,116,139,yes,no,no,no,no
Karawaci,Tangerang,1800000000,3.0,2.0,60,66,yes,no,no,no,no
Gading Serpong,Tangerang,2850000000,3.0,2.0,136,160,no,no,yes,no,no
Gading Serpong,Tangerang,3100000000,3.0,2.0,96,161,no,no,yes,no,no
Cikupa Citra Raya,Tangerang,1160000000,4.0,3.0,120,120,no,no,no,no,no
BSD The Green,Tangerang,3300000000,3.0,3.0,180,180,no,no,no,yes,no
Gading Serpong,Tangerang,2300000000,3.0,3.0,128,190,yes,no,no,no,no
Bekasi Kota,Bekasi,870000000,3.0,2.0,96,83,yes,no,no,no,no
Mustikajaya,Bekasi,616000000,2.0,1.0,72,72,no,no,yes,no,no
Harapan Indah,Bekasi,1750000000,2.0,2.0,149,101,no,no,yes,no,no
Harapan Indah,Bekasi,1050000000,3.0,2.0,144,75,no,no,no,no,no
Bekasi Kota,Bekasi,5100000000,3.0,2.0,600,300,no,no,yes,no,no
Taman Galaxy,Bekasi,1400000000,3.0,3.0,84,120,yes,no,no,no,no
Summarecon Bekasi,Bekasi,5500000000,5.0,5.0,180,297,yes,no,no,no,no
Harapan Indah,Bekasi,1000000000,2.0,2.0,55,54,yes,no,no,no,no
Jati Asih,Bekasi,1970000000,4.0,2.0,108,132,no,no,yes,no,no
Harapan Indah,Bekasi,3400000000,3.0,4.0,278,183,no,no,yes,no,no
Harapan Indah,Bekasi,3500000000,3.0,3.0,200,275,no,no,yes,no,no
Babelan,Bekasi,470000000,2.0,1.0,72,48,no,no,no,no,no
Bekasi Kota,Bekasi,970000000,3.0,2.0,90,175,yes,no,no,no,no
Jatibening,Bekasi,1720000000,3.0,2.0,150,100,no,no,no,no,no
Jatibening,Bekasi,810000000,2.0,1.0,120,90,no,no,no,no,no
Jati Asih,Bekasi,1610000000,2.0,1.0,72,45,yes,no,no,no,no
Jati Asih,Bekasi,1180000000,3.0,2.0,120,90,yes,no,no,no,no
Harapan Indah,Bekasi,910000000,4.0,2.0,105,78,no,no,no,no,no
Harapan Indah,Bekasi,1130000000,3.0,1.0,112,112,no,no,no,no,no
Grand Wisata,Bekasi,940000000,2.0,1.0,84,39,no,no,no,no,no
Grand Wisata,Bekasi,1610000000,2.0,2.0,144,130,no,no,no,no,no
Galaxy,Bekasi,1180000000,2.0,1.0,90,60,yes,no,no,no,no
Kebalen,Bekasi,950000000,3.0,1.0,102,66,no,no,no,no,no
Galaxy,Bekasi,2360000000,3.0,3.0,213,200,yes,no,no,no,no
Cikarang,Bekasi,750000000,2.0,2.0,78,102,no,no,no,no,no
Cikarang,Bekasi,700000000,3.0,2.0,78,120,no,no,no,no,no
Bekasi Utara,Bekasi,560000000,2.0,1.0,90,45,yes,no,no,no,no
Bekasi Utara,Bekasi,810000000,3.0,1.0,60,100,yes,no,no,no,no
Bekasi Timur,Bekasi,1100000000,2.0,2.0,60,50,yes,no,no,no,no
Bekasi Timur,Bekasi,870000000,2.0,2.0,60,47,yes,no,no,no,no
Babelan,Bekasi,580000000,2.0,1.0,72,50,yes,no,no,no,no
Tarumajaya,Bekasi,1000000000,2.0,2.0,55,54,yes,no,no,no,no
Summarecon Bekasi,Bekasi,2450000000,3.0,3.0,136,170,yes,no,no,no,no
Jatibening,Bekasi,5500000000,5.0,5.0,720,609,no,no,no,no,yes
Bekasi Timur,Bekasi,1820000000,4.0,3.0,270,100,no,no,yes,no,no
Cikarang Utara,Bekasi,540000000,2.0,1.0,72,60,yes,no,no,no,no
Babelan,Bekasi,490000000,2.0,1.0,60,55,yes,no,no,no,no
Babelan,Bekasi,700000000,2.0,1.0,107,55,yes,no,no,no,no
Babelan,Bekasi,650000000,2.0,1.0,101,57,yes,no,no,no,no
Jatisampurna,Bekasi,1670000000,3.0,3.0,90,140,yes,no,no,no,no
Mustikajaya,Bekasi,985000000,3.0,2.0,90,100,yes,no,yes,no,no
Tambun Selatan,Bekasi,600000000,3.0,2.0,100,60,no,no,yes,no,no
Grand Wisata,Bekasi,1610000000,2.0,2.0,126,110,yes,no,no,no,no
Grand Wisata,Bekasi,650000000,2.0,1.0,72,42,yes,no,no,no,no
Cikarang,Bekasi,540000000,2.0,1.0,36,72,yes,no,no,no,no
Pondok Ungu,Bekasi,680000000,3.0,2.0,60,80,no,no,no,no,no
Kaliabang,Bekasi,680000000,2.0,1.0,60,50,no,no,no,no,no
Babelan,Bekasi,650000000,2.0,1.0,101,57,yes,no,no,no,no
Bekasi Utara,Bekasi,540000000,2.0,1.0,72,54,no,no,no,no,no
Bekasi Utara,Bekasi,1290000000,5.0,4.0,100,230,no,no,no,no,no
Bekasi Utara,Bekasi,910000000,3.0,1.0,74,70,no,no,no,no,no
Bekasi Utara,Bekasi,490000000,2.0,1.0,60,55,no,no,no,no,no
Mustikajaya,Bekasi,860000000,3.0,2.0,128,95,no,no,yes,no,no
Bekasi Timur,Bekasi,560000000,2.0,1.0,45,90,no,no,no,no,no
Bekasi Timur,Bekasi,1610000000,3.0,2.0,144,130,no,no,no,no,no
Bekasi Timur,Bekasi,750000000,2.0,1.0,54,84,no,no,no,no,no
Bekasi Timur,Bekasi,700000000,2.0,1.0,92,37,no,no,no,no,no
Summarecon Bekasi,Bekasi,700000000,2.0,1.0,107,55,no,no,no,no,no
Summarecon Bekasi,Bekasi,650000000,2.0,1.0,101,57,yes,no,no,no,no
Harapan Indah,Bekasi,1100000000,2.0,1.0,143,55,yes,no,no,no,no
Pondokmelati,Bekasi,1290000000,2.0,2.0,144,140,no,no,no,no,no
Jatibening,Bekasi,2680000000,5.0,3.0,128,240,no,no,no,no,no
Jati Asih,Bekasi,2460000000,5.0,2.0,305,200,no,no,no,no,no
Jati Asih,Bekasi,1100000000,2.0,2.0,60,50,yes,no,no,no,no
Harapan Indah,Bekasi,560000000,2.0,2.0,60,100,no,no,no,no,no
Harapan Indah,Bekasi,1180000000,3.0,1.0,108,90,yes,no,no,no,no
Prima Harapan,Bekasi,1990000000,4.0,3.0,144,258,yes,no,no,no,no
Galaxy,Bekasi,650000000,3.0,2.0,77,154,no,no,no,no,no
Harapan Indah,Bekasi,1350000000,3.0,2.0,126,126,no,no,no,no,no
Jatibening,Bekasi,12200000000,5.0,4.0,2448,800,no,no,no,yes,no
Jaka Setia,Bekasi,15000000000,5.0,4.0,630,450,yes,no,no,no,no
Jati Asih,Bekasi,800000000,3.0,2.0,75,77,yes,no,no,no,no
Jati Asih,Bekasi,500000000,2.0,1.0,65,45,yes,no,no,no,yes
Harapan Indah,Bekasi,2270000000,5.0,3.0,144,158,yes,no,no,yes,no
Tambun Selatan,Bekasi,630000000,3.0,2.0,60,120,no,no,yes,no,no
Tambun Selatan,Bekasi,1360000000,2.0,2.0,60,90,no,no,yes,no,no
Mustikasari,Bekasi,775000000,2.0,1.0,72,55,yes,no,yes,no,no
Rawalumbu,Bekasi,525000000,2.0,1.0,78,36,no,no,yes,no,no
Harapan Indah,Bekasi,900000000,3.0,2.0,90,70,yes,no,yes,no,no
Jati Asih,Bekasi,800000000,3.0,2.0,84,85,no,no,no,no,no
Harapan Indah,Bekasi,1020000000,2.0,2.0,105,75,yes,no,no,no,no
Harapan Indah,Bekasi,1720000000,3.0,3.0,108,160,yes,no,no,no,no
Harapan Indah,Bekasi,1930000000,4.0,2.0,120,200,yes,no,no,no,no
Tambun Selatan,Bekasi,2700000000,5.0,4.0,245,200,no,no,yes,no,no
Pondokmelati,Bekasi,700000000,5.0,5.0,292,130,no,no,yes,no,no
Jati Asih,Bekasi,1150000000,4.0,3.0,96,150,no,no,yes,no,no
Bekasi,Bekasi,1620000000,3.0,3.0,90,75,yes,no,no,no,no
Mustikajaya,Bekasi,545000000,2.0,1.0,72,38,yes,no,no,no,no
Grand Wisata,Bekasi,702000000,3.0,2.0,80,60,yes,no,no,no,no
Bekasi Timur,Bekasi,1470000000,3.0,3.0,90,75,yes,no,no,no,no
Jatibening,Bekasi,790000000,2.0,2.0,85,60,no,no,no,no,no
Harapan Indah,Bekasi,6000000000,6.0,3.0,300,450,no,no,no,yes,no
Cibitung,Bekasi,850000000,2.0,1.0,72,54,yes,no,no,no,no
Kemang Pratama,Bekasi,3900000000,3.0,3.0,201,300,no,no,no,no,no
Summarecon Bekasi,Bekasi,4950000000,3.0,3.0,245,400,no,no,no,no,no
Bekasi Kota,Bekasi,900000000,2.0,1.0,80,50,no,no,yes,no,no
Jaka Setia,Bekasi,1600000000,4.0,1.0,162,180,no,no,yes,no,no
Harapan Indah,Bekasi,1300000000,2.0,2.0,126,55,yes,no,no,no,no
Kemang Pratama,Bekasi,11000000000,4.0,3.0,599,500,no,no,yes,no,no
Kemang Pratama,Bekasi,11000000000,4.0,3.0,599,500,no,no,yes,no,no
Kalimalang,Bekasi,1670000000,3.0,3.0,90,75,yes,no,no,no,yes
Cikarang,Bekasi,1360000000,3.0,2.0,120,70,yes,no,no,no,no
Jatibening,Bekasi,650000000,2.0,1.0,112,65,no,no,no,no,no
Jati Asih,Bekasi,1070000000,4.0,3.0,100,200,yes,no,no,no,no
Jatibening,Bekasi,1490000000,3.0,2.0,62,120,yes,no,no,no,no
Harapan Indah,Bekasi,810000000,3.0,1.0,60,100,no,no,no,no,no
Grand Wisata,Bekasi,590000000,2.0,1.0,66,66,no,no,no,no,no
Galaxy,Bekasi,1720000000,3.0,2.0,150,100,yes,no,no,no,no
Bekasi Utara,Bekasi,1490000000,3.0,3.0,79,105,yes,no,no,no,no
Bekasi Timur,Bekasi,650000000,3.0,2.0,77,154,yes,no,no,no,no
Babelan,Bekasi,1200000000,3.0,2.0,90,66,no,no,yes,yes,no
Bekasi Utara,Bekasi,1200000000,3.0,2.0,90,100,yes,no,yes,no,no
Jati Asih,Bekasi,910000000,4.0,2.0,89,160,yes,no,no,no,no
Bekasi Utara,Bekasi,685000000,2.0,1.0,105,60,yes,no,yes,no,no
Harapan Indah,Bekasi,1690000000,2.0,1.0,160,160,no,no,no,no,no
Jatiwaringin,Bekasi,1100000000,3.0,3.0,85,97,no,no,no,no,no
Jati Asih,Bekasi,615000000,2.0,1.0,81,55,no,yes,yes,no,no
Serang Cibarusah,Bekasi,300000000,2.0,1.0,60,29,no,no,no,no,no
Jatibening,Bekasi,1450000000,3.0,3.0,100,130,yes,no,no,no,no
Jatibening,Bekasi,2140000000,4.0,2.0,90,88,yes,no,no,no,no
Jatibening,Bekasi,1930000000,4.0,2.0,117,96,yes,no,no,no,no
Jatibening,Bekasi,860000000,2.0,1.0,91,45,yes,no,no,no,no
